code,公司名稱,當月營收,上月營收,去年當月營收,上月比較 增減(%),去年同月 增減(%),當月累計營收,去年累計營收,前期比較 增減(%),備註,
1731,美吾華,183317,116469,119473,57.39,53.43,183317,119473,53.43,美吾髮事業部森歐黎漾Saholea及通路專屬髮品皆出貨暢旺；醫藥部血寶凍晶注射劑業績亦創新高，帶動整體營收較去年同期大幅成長53%,183317
1733,五鼎,191549,109750,141091,74.53,35.76,191549,141091,35.76,-,191549
1734,杏輝,303726,246928,228663,23.0,32.82,303726,228663,32.82,-,303726
1752,南光,223849,139986,165023,59.9,35.64,223849,165023,35.64,-,223849
1760,寶齡富錦,149250,137538,90013,8.51,65.8,149250,90013,65.8,"主要係去年1月春節假期9天,實際工作天少;另逢1月流感季節，客戶對本公司產品需求大增，致合併營收較去年同期增加。",149250
1762,中化生,71704,117627,262890,-39.04,-72.72,71704,262890,-72.72,當月營收較去年同期減少，主係部份產品營收遞延認列所致。,71704
1783,和康生,51182,47332,43249,8.13,18.34,51182,43249,18.34,-,51182
1786,科妍,74264,81165,35722,-8.5,107.89,74264,35722,107.89,可吸收防沾黏凝膠、關節腔注射劑及膀胱灌注液業務銷售增加。,74264
1789,神隆,254082,567391,216363,-55.21,17.43,254082,216363,17.43,-,254082
1795,美時,1995716,1372425,2007756,45.41,-0.59,1995716,2007756,-0.59,-,1995716
3164,景岳,34773,22396,24272,55.26,43.26,34773,24272,43.26,-,34773
3705,永信,729058,633520,623797,15.08,16.87,729058,623797,16.87,-,729058
4104,佳醫,767569,727021,679779,5.57,12.91,767569,679779,12.91,-,767569
4106,雃博,256061,230338,234661,11.16,9.11,256061,234661,9.11,-,256061
4108,懷特,12796,17834,8735,-28.24,46.49,12796,8735,46.49,本期「懷特血寶®」凍晶注射劑及「懷特耆力®」出貨增加，營收較去年同期大幅成長46.5%,12796
4119,旭富,92890,88732,90784,4.68,2.31,92890,90784,2.31,-,92890
4133,亞諾法,27089,26773,26069,1.18,3.91,27089,26069,3.91,-,27089
4142,國光生,2984,-95595,39209,103.12,-92.38,2984,39209,-92.38,營收較去年同期減少主因為配合國外客戶出貨調整所致,2984
4155,訊映,84804,95446,145946,-11.14,-41.89,84804,145946,-41.89,-,84804
4164,承業醫,257653,367911,215020,-29.96,19.82,257653,215020,19.82,-,257653
4736,泰博,420111,335294,683644,25.29,-38.54,420111,683644,-38.54,-,420111
4737,華廣,151078,180598,123272,-16.34,22.55,151078,123272,22.55,-,151078
4746,台耀,325081,494374,269320,-34.24,20.7,325081,269320,20.7,-,325081
4771,望隼,321786,250222,159655,28.6,101.55,321786,159655,101.55,因中國、台灣及日本之代工訂單增加，故業績提升。,321786
6446,藥華藥,507585,674560,232370,-24.75,118.43,507585,232370,118.43,本月及本年累計營收較去年成長，主要來自認列美國子公司PharmaEssentia USA Corp. 之營收。,507585
6472,保瑞,1225079,950333,1895594,28.91,-35.37,1225079,1895594,-35.37,-,1225079
6491,晶碩,567390,568419,498829,-0.18,13.74,567390,498829,13.74,-,567390
6534,正瀚-創,221973,73532,206094,201.87,7.7,221973,206094,7.7,-,221973
6645,金萬林-創,29878,51777,28358,-42.29,5.36,29878,28358,5.36,-,29878
6657,華安,416,615,177,-32.35,135.02,416,177,135.02,113年1月較112年1月營收增加239仟元，變動135.03%，主係試劑銷售成長。,416
6782,視陽,236306,258026,192644,-8.41,22.66,236306,192644,22.66,-,236306
6796,晉弘,37026,53266,29652,-30.48,24.86,37026,29652,24.86,-,37026
6861,睿生光電,165182,172763,144391,-4.38,14.39,165182,144391,14.39,-,165182
6949,沛爾生醫-創,1536,1226,1657,25.28,-7.3,1536,1657,-7.3,-,1536
1802,台玻,3941086,3903173,2659893,0.97,48.16,3941086,2659893,48.16,-,3941086
1806,冠軍,351388,297308,156773,18.18,124.13,351388,156773,124.13,因2023年1月適逢農曆除夕及春節，致營業天期較短而減少銷貨業績。,351388
1809,中釉,234602,208379,133261,12.58,76.04,234602,133261,76.04,農曆年節提前出貨,234602
1810,和成,408667,431200,281415,-5.22,45.21,408667,281415,45.21,-,408667
1817,凱撒衛,248873,253912,126309,-1.98,97.03,248873,126309,97.03,本月增減百分比達50%以上係因兩年度農曆春節月份差異所致。,248873
1903,士紙,13434,14723,12791,-8.75,5.02,13434,12791,5.02,-,13434
1904,正隆,3630051,3737658,2864634,-2.87,26.71,3630051,2864634,26.71,-,3630051
1905,華紙,1878234,1829663,1430345,2.65,31.31,1878234,1430345,31.31,-,1878234
1906,寶隆,236990,242428,168788,-2.24,40.4,236990,168788,40.4,-,236990
1907,永豐餘,6773301,6570307,4781791,3.08,41.64,6773301,4781791,41.64,-,6773301
1909,榮成,4073148,4194654,2890777,-2.89,40.9,4073148,2890777,40.9,-,4073148
6790,永豐實,1032858,879868,789062,17.38,30.89,1032858,789062,30.89,-,1032858
2002,中鋼,31931086,29479297,26244553,8.31,21.66,31931086,26244553,21.66,-,31931086
2006,東和鋼鐵,5508345,5888996,3546573,-6.46,55.31,5508345,3546573,55.31,本月及累計合併營業收入較去年同期增加，主係112年1月為農曆春節月份，致出貨工作天數不同進而影響營業收入。,5508345
2007,燁興,433926,393709,408132,10.21,6.32,433926,408132,6.32,-,433926
2008,高興昌,140649,116113,145190,21.13,-3.12,140649,145190,-3.12,-,140649
2009,第一銅,253065,225553,164320,12.19,54.0,253065,164320,54.0,主係因出貨量增加。,253065
2010,春源,1812575,1867497,1228189,-2.94,47.58,1812575,1228189,47.58,-,1812575
2012,春雨,705201,761421,591365,-7.38,19.24,705201,591365,19.24,-,705201
2013,中鋼構,1488866,1831912,1813168,-18.72,-17.88,1488866,1813168,-17.88,-,1488866
2014,中鴻,3199028,3123779,2704933,2.4,18.26,3199028,2704933,18.26,-,3199028
2015,豐興,3342899,3105264,2108507,7.65,58.54,3342899,2108507,58.54,因112年1月適逢農曆春節，113年1月銷售量較去年同期增加61%，致營收增加58.54%,3342899
2017,官田鋼,219974,280714,214941,-21.63,2.34,219974,214941,2.34,-,219974
2020,美亞,633428,558804,428370,13.35,47.86,633428,428370,47.86,-,633428
2022,聚亨,658566,494431,456412,33.19,44.29,658566,456412,44.29,-,658566
2023,燁輝,6964692,5922722,5280570,17.59,31.89,6964692,5280570,31.89,-,6964692
2024,志聯,88973,87235,55372,1.99,60.68,88973,55372,60.68,去年適逢春節放假日較多,88973
2025,千興,149287,99884,37412,49.46,299.03,149287,37412,299.03,因全球景氣露出復甦跡象，且大陸央行調降存款準備率，提升中下游產業購料及備庫意願，故營收較去年大幅增加。,149287
2027,大成鋼,7771619,6177627,9901517,25.8,-21.51,7771619,9901517,-21.51,-,7771619
2028,威致,1071820,1024962,707281,4.57,51.54,1071820,707281,51.54,主要係因去年同期適逢過年，出貨天數較少所致。,1071820
2029,盛餘,1116185,1227703,772409,-9.08,44.5,1116185,772409,44.5,-,1116185
2030,彰源,1146236,1006949,843401,13.83,35.9,1146236,843401,35.9,-,1146236
2031,新光鋼,1365464,1417511,816066,-3.67,67.32,1365464,816066,67.32,本月及累計合併營業收入較去年同期增加，主係112年1月為農曆春節月份，營業天數差異所致。,1365464
2032,新鋼,231424,258948,210527,-10.62,9.92,231424,210527,9.92,-,231424
2033,佳大,51595,56554,33965,-8.76,51.9,51595,33965,51.9,去年1月為過年期間出貨天數減少,51595
2034,允強,1079326,1039899,1116935,3.79,-3.36,1079326,1116935,-3.36,土耳其子公司因處高度通貨膨脹環境，應依IAS 29編製財報，故其本年度營收已按土耳其消費者物價指數波動率重述。,1079326
